"treatment","concentration","unit","n_total","n_germinated","germ_pct","avg_length_cm","sum_length_cm","relative_seed_germination_percent","rsg_change_percent","relative_growth_percent","growth_change_percent","germination_index_percent","gi_change_percent"
"BMC",1,"g/L",59,25,42.3728813559322,1.16484,29.121,83.3333333333333,-16.6666666666667,92.3596574690771,-7.64034253092292,76.9663812242309,-23.0336187757691
"BMC",4,"g/L",59,41,69.4915254237288,1.8549756097561,76.054,136.666666666667,36.6666666666667,147.08021009801,47.0802100980096,201.00962046728,101.00962046728
"Control",0,"g/L",60,58,96.6666666666667,4.25343103448276,246.699,190.111111111111,90.1111111111111,337.25269857935,237.25269857935,641.154852521408,541.154852521408
"MMB",1,"g/L",59,39,66.1016949152542,1.41453846153846,55.167,130,30,112.158139988777,12.1581399887775,145.805581985411,45.8055819854107
"MMB",4,"g/L",59,36,61.0169491525424,1.63802777777778,58.969,120,20,129.878510765761,29.878510765761,155.854212918913,55.8542129189132
"RB",1,"g/L",59,30,50.8474576271186,1.16556666666667,34.967,100,0,92.4172745533354,0,92.4172745533354,0
"RB",4,"g/L",59,30,50.8474576271186,1.35683333333333,40.705,100,0,107.582725446665,0,107.582725446665,0
"Spent Lees A",NA,NA,59,22,37.2881355932203,1.31659090909091,28.965,73.3333333333333,-26.6666666666667,104.39192111409,4.39192111409048,76.5540754836664,-23.4459245163336
