".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","p_display"
"root_length_cm","BMC (1 g/L)","BMC (4 g/L)",0.690135609756098,0.260436854430183,1.11983436508201,0.000125,"***","<0.001"
"root_length_cm","BMC (1 g/L)","Control (0 g/L)",3.08859103448276,2.44113784225225,3.73604422671327,0,"***","<1e-16"
"root_length_cm","BMC (1 g/L)","MMB (1 g/L)",0.249698461538461,-0.0733964879074569,0.57279341098438,0.248,"ns","0.248"
"root_length_cm","BMC (1 g/L)","MMB (4 g/L)",0.473187777777778,0.0782463044605431,0.868129251095012,0.009,"**","0.009"
"root_length_cm","BMC (1 g/L)","RB (1 g/L)",0.000726666666666542,-0.337266932141353,0.338720265474686,1,"ns","1.000"
"root_length_cm","BMC (1 g/L)","RB (4 g/L)",0.191993333333333,-0.185154911302045,0.569141577968711,0.739,"ns","0.739"
"root_length_cm","BMC (1 g/L)","Spent Lees A",0.151750909090909,-0.282340198502588,0.585842016684406,0.944,"ns","0.944"
"root_length_cm","BMC (4 g/L)","Control (0 g/L)",2.39845542472666,1.67720500105487,3.11970584839845,4.39e-10,"***","<0.001"
"root_length_cm","BMC (4 g/L)","MMB (1 g/L)",-0.440437148217636,-0.901797981649196,0.0209236852139236,0.072,"ns","0.072"
"root_length_cm","BMC (4 g/L)","MMB (4 g/L)",-0.21694783197832,-0.727981842366562,0.294086178409922,0.887,"ns","0.887"
"root_length_cm","BMC (4 g/L)","RB (1 g/L)",-0.689408943089431,-1.15981746986919,-0.219000416309674,0.000516,"***","<0.001"
"root_length_cm","BMC (4 g/L)","RB (4 g/L)",-0.498142276422764,-0.995522433753569,-0.000762119091959668,0.049,"*","0.049"
"root_length_cm","BMC (4 g/L)","Spent Lees A",-0.538384700665189,-1.07564967414427,-0.0011197271861032,0.049,"*","0.049"
"root_length_cm","Control (0 g/L)","MMB (1 g/L)",-2.8388925729443,-3.50741151340074,-2.17037363248785,0,"***","<1e-16"
"root_length_cm","Control (0 g/L)","MMB (4 g/L)",-2.61540325670498,-3.31761363856334,-1.91319287484662,1.74e-10,"***","<0.001"
"root_length_cm","Control (0 g/L)","RB (1 g/L)",-3.08786436781609,-3.7621194587759,-2.41360927685628,0,"***","<1e-16"
"root_length_cm","Control (0 g/L)","RB (4 g/L)",-2.89659770114943,-3.58903628012388,-2.20415912217497,0,"***","<1e-16"
"root_length_cm","Control (0 g/L)","Spent Lees A",-2.93684012539185,-3.65590955664319,-2.21777069414051,0,"***","<1e-16"
"root_length_cm","MMB (1 g/L)","MMB (4 g/L)",0.223489316239316,-0.205807459027754,0.652786091506386,0.731,"ns","0.731"
"root_length_cm","MMB (1 g/L)","RB (1 g/L)",-0.248971794871795,-0.627110005033575,0.129166415289985,0.45,"ns","0.450"
"root_length_cm","MMB (1 g/L)","RB (4 g/L)",-0.0577051282051282,-0.470517945890011,0.355107689479755,1,"ns","1.000"
"root_length_cm","MMB (1 g/L)","Spent Lees A",-0.0979475524475524,-0.561478818146958,0.365583713251853,0.997,"ns","0.997"
"root_length_cm","MMB (4 g/L)","RB (1 g/L)",-0.472461111111111,-0.911700050482489,-0.0332221717397335,0.026,"*","0.026"
"root_length_cm","MMB (4 g/L)","RB (4 g/L)",-0.281194444444444,-0.749520803942047,0.187131915053158,0.568,"ns","0.568"
"root_length_cm","MMB (4 g/L)","Spent Lees A",-0.321436868686868,-0.832779686796143,0.189905949422406,0.5,"ns","0.500"
"root_length_cm","RB (1 g/L)","RB (4 g/L)",0.191266666666667,-0.231991192915365,0.614524526248698,0.843,"ns","0.843"
"root_length_cm","RB (1 g/L)","Spent Lees A",0.151024242424243,-0.32122047870194,0.623268963550425,0.969,"ns","0.969"
"root_length_cm","RB (4 g/L)","Spent Lees A",-0.0402424242424242,-0.538436372732926,0.457951524248077,1,"ns","1.000"
