"treatment","concentration","unit","n_total","n_germinated","germ_pct","avg_length_cm","sum_length_cm","relative_seed_germination_percent","rsg_change_percent","relative_growth_percent","growth_change_percent","germination_index_percent","gi_change_percent"
"BMC",1,"g/L",59,25,42.3728813559322,1.16484,29.121,43.8340151957919,-56.1659848042081,27.385891308842,-72.614108691158,12.0043357578208,-87.9956642421792
"BMC",4,"g/L",59,41,69.4915254237288,1.8549756097561,76.054,71.8877849210988,-28.1122150789012,43.611277453842,-56.388722546158,31.3511813373616,-68.6488186626384
"Control",0,"g/L",60,58,96.6666666666667,4.25343103448276,246.699,100,0,100,0,100,0
"MMB",1,"g/L",59,39,66.1016949152542,1.41453846153846,55.167,68.3810637054354,-31.6189362945646,33.2564099446008,-66.7435900553992,22.7410868703582,-77.2589131296418
"MMB",4,"g/L",59,36,61.0169491525424,1.63802777777778,58.969,63.1209818819404,-36.8790181180596,38.5107402588219,-61.4892597411781,24.3083573813721,-75.6916426186279
"RB",1,"g/L",59,30,50.8474576271186,1.16556666666667,34.967,52.6008182349503,-47.3991817650497,27.4029755559069,-72.5970244440931,14.4141893631304,-85.5858106368696
"RB",4,"g/L",59,30,50.8474576271186,1.35683333333333,40.705,52.6008182349503,-47.3991817650497,31.8997374668456,-68.1002625331544,16.7795229223618,-83.2204770776382
"Spent Lees A",NA,NA,59,22,37.2881355932203,1.31659090909091,28.965,38.5739333722969,-61.4260666277031,30.9536206986136,-69.0463793013864,11.9400290245967,-88.0599709754033
