treatment,concentration,unit,root length,unit
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
RB,4,g/L,,cm
MMB,1,g/L,1.395,cm
MMB,1,g/L,1.074,cm
MMB,1,g/L,1.901,cm
MMB,1,g/L,1.039,cm
MMB,1,g/L,1.933,cm
MMB,1,g/L,0.8,cm
MMB,1,g/L,1.191,cm
MMB,1,g/L,0.929,cm
MMB,1,g/L,1.591,cm
MMB,1,g/L,0.635,cm
MMB,1,g/L,1.625,cm
MMB,1,g/L,1.281,cm
MMB,1,g/L,1.303,cm
MMB,1,g/L,1.828,cm
MMB,1,g/L,2.139,cm
MMB,1,g/L,1.474,cm
MMB,1,g/L,1.784,cm
MMB,1,g/L,1.153,cm
MMB,1,g/L,1.515,cm
MMB,1,g/L,0.7,cm
MMB,1,g/L,1.68,cm
MMB,1,g/L,2.478,cm
MMB,1,g/L,1.902,cm
MMB,1,g/L,0.685,cm
MMB,1,g/L,1.532,cm
MMB,1,g/L,2.621,cm
MMB,1,g/L,0.944,cm
MMB,1,g/L,2.317,cm
MMB,1,g/L,1.774,cm
MMB,1,g/L,1.714,cm
MMB,1,g/L,1.566,cm
MMB,1,g/L,1.405,cm
MMB,1,g/L,1.04,cm
MMB,1,g/L,1.557,cm
MMB,1,g/L,1.313,cm
MMB,1,g/L,0.842,cm
MMB,1,g/L,1.26,cm
MMB,1,g/L,0.358,cm
MMB,1,g/L,0.889,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,1,g/L,,cm
MMB,4,g/L,2.094,cm
MMB,4,g/L,2.129,cm
MMB,4,g/L,2.059,cm
MMB,4,g/L,1.934,cm
MMB,4,g/L,2.22,cm
MMB,4,g/L,1.558,cm
MMB,4,g/L,1.231,cm
MMB,4,g/L,1.693,cm
MMB,4,g/L,1.076,cm
MMB,4,g/L,1.603,cm
MMB,4,g/L,1.092,cm
MMB,4,g/L,0.801,cm
MMB,4,g/L,1.258,cm
MMB,4,g/L,0.563,cm
MMB,4,g/L,1.985,cm
MMB,4,g/L,1.208,cm
MMB,4,g/L,1.605,cm
MMB,4,g/L,1.066,cm
MMB,4,g/L,2.624,cm
MMB,4,g/L,2.066,cm
MMB,4,g/L,1.269,cm
MMB,4,g/L,0.826,cm
MMB,4,g/L,1.785,cm
MMB,4,g/L,0.57,cm
MMB,4,g/L,1.784,cm
MMB,4,g/L,1.533,cm
MMB,4,g/L,1.71,cm
MMB,4,g/L,1.743,cm
MMB,4,g/L,1.489,cm
MMB,4,g/L,2.034,cm
MMB,4,g/L,2.367,cm
MMB,4,g/L,3.453,cm
MMB,4,g/L,2.937,cm
MMB,4,g/L,1.579,cm
MMB,4,g/L,1.693,cm
MMB,4,g/L,0.332,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
MMB,4,g/L,,cm
BMC,1,g/L,1.248,cm
BMC,1,g/L,0.809,cm
BMC,1,g/L,0.854,cm
BMC,1,g/L,1.346,cm
BMC,1,g/L,0.942,cm
BMC,1,g/L,1.564,cm
BMC,1,g/L,1.246,cm
BMC,1,g/L,1.449,cm
BMC,1,g/L,1.493,cm
